Title,Category,Description,Tags,Website URL,Showcase Image,Logo URL
Passionfruit,E-commerce,"Discover the latest electronic products and personal devices at Passionfruit. Premium quality, innovative technology, exceptional service.","[""responsive"", ""business"", ""professional"", ""clean""]",https://deodaniel.github.io/Passionfruit/,https://api.microlink.io/?url=https://deodaniel.github.io/Passionfruit/&screenshot=true&meta=false&embed=screenshot.url,https://deodaniel.github.io/Passionfruit/passion-fruit-1.svg
Coffee To Go,Landing Page,"Official platform for Coffee To Go. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://mkxgamer295-web.github.io/try/,https://api.microlink.io/?url=https://mkxgamer295-web.github.io/try/&screenshot=true&meta=false&embed=screenshot.url,
Thesixseventh,E-commerce,"Official platform for Thesixseventh. Discover the best features, services, and updates directly from the source.","[""responsive"", ""creative"", ""minimal"", ""art""]",https://nuggynih.github.io/PPW-Assignment1.github.io/,https://api.microlink.io/?url=https://nuggynih.github.io/PPW-Assignment1.github.io/&screenshot=true&meta=false&embed=screenshot.url,
Parfumeyuu,E-commerce,"Official platform for Parfumeyuu - Jual Parfum Online. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://fabiousama24.github.io/hw1_PPW/,https://api.microlink.io/?url=https://fabiousama24.github.io/hw1_PPW/&screenshot=true&meta=false&embed=screenshot.url,
Richfood Shop,E-commerce,"Official platform for Richfood Shop. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://aerlangga333.github.io/Aerlangs333.github.io/,https://api.microlink.io/?url=https://aerlangga333.github.io/Aerlangs333.github.io/&screenshot=true&meta=false&embed=screenshot.url,
IMPERATRIX,SaaS,"Official platform for IMPERATRIX. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://opalescentmoon.github.io/imperatrix/,https://api.microlink.io/?url=https://opalescentmoon.github.io/imperatrix/&screenshot=true&meta=false&embed=screenshot.url,https://opalescentmoon.github.io/imperatrix/cerydra_icon.png
Anshelna Dealer,Corporate,"Official platform for Anshelna Dealer. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://laikaa86.github.io/ppwe/,https://api.microlink.io/?url=https://laikaa86.github.io/ppwe/&screenshot=true&meta=false&embed=screenshot.url,
Nakata,E-commerce,"Official platform for Nakata. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://fathyakr.github.io/Nakata/,https://api.microlink.io/?url=https://fathyakr.github.io/Nakata/&screenshot=true&meta=false&embed=screenshot.url,https://fathyakr.github.io/Nakata/assets/Nakata_Desc-removebg-preview.png
Salshoe,E-commerce,"Official platform for Salshoe - Sepatu Branded. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://sabil28.github.io/WEB-SALSHOE-TASKPPW/,https://api.microlink.io/?url=https://sabil28.github.io/WEB-SALSHOE-TASKPPW/&screenshot=true&meta=false&embed=screenshot.url,
No Void Minds,E-commerce,"Official platform for No Void Minds - Crafted to Perfection. Discover the best features, services, and updates directly from the source.","[""responsive"", ""business"", ""minimal""]",https://na-id.github.io/hw1-ppw-store/,https://api.microlink.io/?url=https://na-id.github.io/hw1-ppw-store/&screenshot=true&meta=false&embed=screenshot.url,https://na-id.github.io/hw1-ppw-store/assets/logo/NoVoidMindsLogo-white.svg
Glams,Corporate,"Official platform for Glams. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://bukanadine.github.io/Glams/,https://api.microlink.io/?url=https://bukanadine.github.io/Glams/&screenshot=true&meta=false&embed=screenshot.url,https://bukanadine.github.io/Glams/assets/glamzz.png
Callys Bakery,Corporate,"Official platform for Callys Bakery. Discover the best features, services, and updates directly from the source.","[""responsive"", ""startup"", ""modern"", ""tech""]",https://rcapo-711.github.io/HW1-PPW/,https://api.microlink.io/?url=https://rcapo-711.github.io/HW1-PPW/&screenshot=true&meta=false&embed=screenshot.url,
